source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
10,12,0.4002079963684082,0.33350609242916107,0.3336,9.390757083893586e-05,1668,paired,0.5294140488486778,0.7939086294416243,0.009238174185156822,0.009333222173154354,0.029464638233184792,0.9913473423980222,0.5318717328548023,13634,0.005302090663462877,4.961068429435546,0.5319281811085089,0.028039667010307304
11,13,0.4335583448410034,0.3668564409017563,0.367,0.00014355909824370627,1835,paired,0.533951935396203,0.8077118214104515,0.008838526904582977,0.008931069634854794,0.028794354200363158,0.9919221060223584,0.5362838759992201,13753,0.004948658403009176,4.857720339125658,0.5366596392597798,0.027486227452754974
12,14,0.46690845489501953,0.4002065509557724,0.40040000000000003,0.00019344904422763376,2002,paired,0.5383123933612532,0.8210846426761277,0.008093670010566711,0.008313233032822609,0.029087819159030907,0.9908636688079943,0.5409976617303196,13882,0.004549128469079733,4.89682052363111,0.5415983766487161,0.02681356072425837
13,15,0.5002588033676147,0.4335568994283676,0.43360000000000004,4.31005716324262e-05,2168,paired,0.5356547365155686,0.8086075949367089,0.009420236572623253,0.009579358622431755,0.02988653033971785,0.9918862640913334,0.5380121514254557,13814,0.005414669867604971,4.896232511922771,0.5388999492524496,0.028230285644531224
14,16,0.5336105823516846,0.46690867841243744,0.467,9.132158756258724e-05,2335,paired,0.5336797611199442,0.7995961635537607,0.00940030999481678,0.009456056170165539,0.030026203393936152,0.9925712225027047,0.5358199657374241,13762,0.00532177509739995,5.040565319035622,0.5368996485747755,0.028397828340530385
15,17,0.5669618844985962,0.5002599805593491,0.5004000000000001,0.0001400194406510069,2502,paired,0.5322068056739787,0.8,0.00900062546133995,0.009090375155210495,0.029924988746643066,0.9920531715070077,0.5344854429394365,13732,0.005130162462592125,5.0431979762871775,0.5349227407523022,0.027994626760482748
16,18,0.6003134846687317,0.5336115807294846,0.5338,0.00018841927051549412,2669,paired,0.5349512308406874,0.7996972754793138,0.009640154428780079,0.009752681478857994,0.0302295982837677,0.9918191603875135,0.5373221366923256,13821,0.005648994352668524,4.952249240773934,0.5393925197157804,0.028719700872898102
17,19,0.6336650252342224,0.5669631212949753,0.5670000000000001,3.6878705024778746e-05,2835,paired,0.5316935452682059,0.7964735516372796,0.009714123792946339,0.009762013331055641,0.030246257781982422,0.9907040426605174,0.5343594527363185,13748,0.005666941404342651,4.858644186962623,0.5357491126106799,0.028984552621841415
18,20,0.6670163869857788,0.6003144830465317,0.6004,8.551695346836752e-05,3002,paired,0.5323671497584541,0.7953629032258065,0.009257597848773003,0.009344449266791344,0.02991548478603363,0.9900100618082507,0.5352424619210444,13775,0.005620162468403578,4.999094228986137,0.5365929738370959,0.028118513524532308
19,21,0.7003676891326904,0.6336657851934433,0.6338,0.00013421480655673168,3169,paired,0.5334131644004945,0.7934508816120907,0.01033471804112196,0.010427931323647499,0.030772989988327015,0.9903894427311195,0.536188553234449,13809,0.0063878512009978294,4.949675680754201,0.5378436342366933,0.02918715476989745
20,22,0.733718991279602,0.6670170873403549,0.6672,0.00018291265964509584,3336,paired,0.5270557336526206,0.7868275515334339,0.009192575700581074,0.009296352043747902,0.02953895926475525,0.9911388727484021,0.5295510109045752,13646,0.005699113477021456,5.0702749488622825,0.5314377096497387,0.028378361463546727
