source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
0,2,0.06670190393924713,0.0,0.0,0.0,0,paired,0.5452024836958644,0.8305870236869207,0.00696142390370369,0.007188970688730478,0.027077466249465942,0.9920414979037874,0.5475975681506178,13961,0.0,4.690198775592618,0.5452024836958644,0.027077466249465942
1,3,0.10005273669958115,0.033350832760334015,0.0334,4.916723966598424e-05,167,paired,0.5351782363977486,0.8160741885625966,0.007857615128159523,0.008263355121016502,0.028341054916381836,0.990523041307965,0.5379326601972263,13692,0.003679545596241951,4.821813323711853,0.5349599843841499,0.027537384629249567
2,4,0.13340356945991516,0.06670166552066803,0.0668,9.833447933196848e-05,334,paired,0.5374072627879735,0.8273195876288659,0.007463772315531969,0.007833092473447323,0.027758055925369254,0.9913563350860765,0.5399372302863868,13763,0.003982421010732651,4.641819639332233,0.5370023419203747,0.02649945020675659
3,5,0.16675415635108948,0.10005225241184235,0.10020000000000001,0.0001477475881576651,501,paired,0.54555741990869,0.8301693175987686,0.00832430087029934,0.00839611142873764,0.028781235218048096,0.9915602836879432,0.5481025560608437,13981,0.0045925043523311615,4.804806725991126,0.5461361240188997,0.027619369328022003
4,6,0.2001049816608429,0.13340307772159576,0.1336,0.00019692227840423238,668,paired,0.536198566084788,0.8216299333675039,0.008666092529892921,0.008771882392466068,0.029048651456832886,0.9913550896909444,0.5387175070466645,13761,0.004970401059836149,4.967730358925005,0.5365044679439653,0.027518385648727408
5,7,0.2334555685520172,0.16675366461277008,0.1668,4.633538722992325e-05,834,paired,0.5361483328139607,0.8208802456499488,0.008235524408519268,0.008337876759469509,0.028961603343486776,0.9919285096569617,0.5384976525821596,13764,0.004695259965956211,5.035615542548977,0.5357101064867185,0.02748737931251526
6,8,0.26680615544319153,0.2001042515039444,0.20020000000000002,9.574849605561986e-05,1001,paired,0.5400857031554344,0.813265306122449,0.008553053252398968,0.008582070469856262,0.028889290988445254,0.9933366769363043,0.5420494975954959,13864,0.004782357718795538,5.18618710777844,0.5416959749902306,0.027533629536628707
7,9,0.30015674233436584,0.2334548383951187,0.2336,0.0001451616048812887,1168,paired,0.5332322171664139,0.7993890020366599,0.009067906998097897,0.009224172681570053,0.02956634759902954,0.9921128798842258,0.5355022652710514,13711,0.005260850768536329,5.227016771039467,0.5347829481574016,0.028062418103218075
8,10,0.33350709080696106,0.26680518686771393,0.267,0.00019481313228608688,1335,paired,0.5358544832679079,0.820538891713269,0.008391400799155235,0.008497058413922787,0.028751754760742182,0.9915851553509781,0.5383023582695612,13787,0.004752425942569971,5.030656003378811,0.5375819544177334,0.027293434739112808
9,11,0.3668576776981354,0.30015577375888824,0.3002,4.422624111177775e-05,1501,paired,0.5373644736330782,0.8201219512195121,0.007864232175052166,0.008027455769479275,0.028385448455810546,0.992036731472846,0.5396924517992351,13828,0.004537058062851429,5.033778082240712,0.5393683881797244,0.026413989067077596
10,12,0.4002079963684082,0.33350609242916107,0.3336,9.390757083893586e-05,1668,paired,0.5294140488486778,0.7939086294416243,0.009238792583346367,0.00933385081589222,0.029458409547805785,0.9913473423980222,0.5318717328548023,13634,0.005299746058881283,4.961068429435546,0.5319281811085089,0.028039667010307304
11,13,0.4335583448410034,0.3668564409017563,0.367,0.00014355909824370627,1835,paired,0.533951935396203,0.8077118214104515,0.008838686160743237,0.008931238204240799,0.028802973031997678,0.9919221060223584,0.5362838759992201,13753,0.004947340115904808,4.857720339125658,0.5366596392597798,0.027486227452754974
12,14,0.46690845489501953,0.4002065509557724,0.40040000000000003,0.00019344904422763376,2002,paired,0.5383123933612532,0.8210846426761277,0.008093615993857384,0.008313186466693878,0.02908781617879867,0.9908636688079943,0.5409976617303196,13882,0.004549096804112196,4.89682052363111,0.5415983766487161,0.02681356072425837
13,15,0.5002588033676147,0.4335568994283676,0.43360000000000004,4.31005716324262e-05,2168,paired,0.5356339666537417,0.8086075949367089,0.00942019559442997,0.00957932323217392,0.02988653033971785,0.9918862640913334,0.5379911983487168,13814,0.0054146465845406055,4.896783933459767,0.5388999492524496,0.028230285644531224
14,16,0.5336105823516846,0.46690867841243744,0.467,9.132158756258724e-05,2335,paired,0.5336797611199442,0.7995961635537607,0.009401317685842514,0.009457067586481571,0.030020108819007848,0.9925712225027047,0.5358199657374241,13762,0.005318119656294584,5.040565319035622,0.5368996485747755,0.028397828340530385
15,17,0.5669618844985962,0.5002599805593491,0.5004000000000001,0.0001400194406510069,2502,paired,0.5322068056739787,0.8004042445679637,0.00900592003017664,0.009095671586692333,0.02994222491979597,0.9920531715070077,0.5344854429394365,13732,0.0051283868961036205,5.0431979762871775,0.5349227407523022,0.027994626760482748
16,18,0.6003134846687317,0.5336115807294846,0.5338,0.00018841927051549412,2669,paired,0.5349926453510877,0.7996972754793138,0.009640147909522057,0.009752676822245121,0.0302295982837677,0.9918191603875135,0.5373639191290824,13821,0.005648985039442778,4.951615902438419,0.5393925197157804,0.028719700872898102
17,19,0.6336650252342224,0.5669631212949753,0.5670000000000001,3.6878705024778746e-05,2835,paired,0.5316935452682059,0.7964735516372796,0.009714414365589619,0.009762302972376347,0.030246376991271973,0.9907040426605174,0.5343594527363185,13748,0.0056660170666873455,4.858644186962623,0.5357491126106799,0.028984552621841415
18,20,0.6670163869857788,0.6003144830465317,0.6004,8.551695346836752e-05,3002,paired,0.5323671497584541,0.7953629032258065,0.009257198311388493,0.009344044141471386,0.02991550266742706,0.9900100618082507,0.5352424619210444,13775,0.005620764102786779,4.999094228986137,0.5365929738370959,0.028118513524532308
19,21,0.7003676891326904,0.6336657851934433,0.6338,0.00013421480655673168,3169,paired,0.5333745364647713,0.7934508816120907,0.010329247452318668,0.010422464460134506,0.030767615139484405,0.9903177221544861,0.5361705432376811,13808,0.006390839349478483,4.895381340329798,0.5378436342366933,0.02918715476989745
