rank,id,label,padding_scene_m,status,cached,flags,particle_applied_responses,final_mean_displacement_m,final_p95_displacement_m,final_max_displacement_m,final_particles_below_floor,failure_reason
5,padding_0dx,0 dx,0.0,complete,False,,0,0.018183954060077667,0.03172207996249199,0.033858515322208405,0,
1,padding_dx_8,dx / 8,0.0026041666666666665,complete,False,,3424582,0.12102852016687393,0.249479278922081,0.290772408246994,0,
2,padding_dx_4,dx / 4,0.005208333333333333,complete,False,,2873314,0.12110485881567001,0.24664251506328583,0.28043898940086365,0,
4,padding_3dx_8,3 dx / 8,0.0078125,complete,False,,2401923,0.12166444957256317,0.24646227061748505,0.2693038284778595,0,
3,padding_dx_2,dx / 2,0.010416666666666666,complete,False,,2417494,0.12165701389312744,0.23948971927165985,0.26202836632728577,0,
