source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
46,48,1.6008373498916626,1.5341354459524155,1.5342,6.455404758454186e-05,7671,paired,0.23756187243671334,0.3719709208400646,-0.009564555250108242,0.014468305744230747,0.02901771478354931,0.6390960280018262,0.2743695282895596,8399,0.01948164403438568,24.296882909479017,0.3521259842519685,0.03785949945449829
47,49,1.6341890096664429,1.5674871057271957,1.5676,0.0001128942728043647,7838,paired,0.25881121679441005,0.3689359967386873,0.005187900271266699,0.010769267566502094,0.030714724212884903,0.641783069994657,0.3025113333813053,8408,0.013047263026237488,20.61264040765926,0.3447615065677154,0.035851091146469116
48,50,1.6675405502319336,1.6008386462926865,1.601,0.00016135370731351628,8005,paired,0.297339849772034,0.4003371260008428,0.008786882273852825,0.01118701696395874,0.03391217812895775,0.6962900376372994,0.3416500207289036,9065,0.012331624515354633,17.6288388861416,0.3382209867963864,0.037049971520900726
49,51,1.7008920907974243,1.6341901868581772,1.6342,9.81314182291193e-06,8171,paired,0.34990926856504745,0.4517966695880806,0.009745368734002113,0.010582298040390015,0.032772306352853775,0.769413750767342,0.3909009395345211,10027,0.011414716020226479,14.878349521481693,0.3426380902596271,0.038427889347076416
50,52,1.734243392944336,1.6675414890050888,1.6676,5.851099491116507e-05,8338,paired,0.35091961852861037,0.46240276577355227,0.0077778794802725315,0.009540382772684097,0.031480785459280014,0.8005439005439006,0.38454073825252866,10303,0.0114585654810071,14.72067898679207,0.33397079276773295,0.037262413650751114
51,53,1.7675946950912476,1.7008927911520004,1.701,0.00010720884799964026,8505,paired,0.3576825343045909,0.46895353886235347,0.0077416240237653255,0.009555963799357414,0.03228124976158142,0.8196428571428571,0.38823918799646956,10557,0.011289444752037525,15.122811535932174,0.3373410001742464,0.03757116198539734
52,54,1.8009459972381592,1.734244093298912,1.7344000000000002,0.00015590670108811544,8672,paired,0.3792982456140351,0.495897903372835,0.007506675086915493,0.009136144071817398,0.03149271011352539,0.8603947787328876,0.4041725865549989,10810,0.011086788959801197,14.294870461887951,0.3293398533007335,0.03894564136862755
53,55,1.8342970609664917,1.7675951570272446,1.7676,4.84297275549217e-06,8838,paired,0.4021351029682259,0.5103383458646616,0.007504929322749376,0.008836044929921627,0.029488684609532356,0.8960141433622629,0.42182120833806225,11150,0.010510780848562717,13.800228913927326,0.3226537442476642,0.03895663470029831
54,56,1.8676484823226929,1.8009465783834457,1.8010000000000002,5.342161655441657e-05,9005,paired,0.4038740568775392,0.512577123872805,0.007013017777353525,0.00826004333794117,0.026998892426490784,0.9058660808721829,0.42156677142099885,11134,0.01017787866294384,13.131887107206655,0.3076097864830259,0.039077818393707275
55,57,1.9009995460510254,1.8342976421117783,1.8344,0.00010235788822177128,9172,paired,0.38205525339480606,0.4912776991984913,0.0077877710573375225,0.0088424701243639,0.02846670150756836,0.889998321866085,0.4009904733101467,10607,0.010702322237193584,13.698667935352194,0.282452953073047,0.041170284152030945
56,58,1.934350609779358,1.8676487058401108,1.8678000000000001,0.00015129415988934802,9339,paired,0.35686601224327164,0.4506641366223909,0.007446981500834227,0.008539325557649136,0.028186926618218422,0.8573666347576364,0.3793900184842883,9852,0.010277661494910717,15.278664128346552,0.2685118496415955,0.04061892628669739
57,59,1.9677016735076904,1.9009997695684433,1.901,2.304315567247528e-07,9505,paired,0.339061657379112,0.4232404345772319,0.008817526511847973,0.009226883761584759,0.029542461037635803,0.8331272084805653,0.3637661035254185,9431,0.01041488815099001,15.199661202718364,0.27106062698522304,0.04294717311859131
58,60,2.0010523796081543,1.9343504756689072,1.9344000000000001,4.9524331092953844e-05,9672,paired,0.3131257714991085,0.38482384823848237,0.008303889073431492,0.009531327523291111,0.030117634683847427,0.787716725610282,0.34198404673632177,9132,0.01064769271761179,15.216332647662561,0.2753782668500688,0.04728756844997406
59,61,2.0344033241271973,1.9677014201879501,1.9678,9.857981204985933e-05,9839,paired,0.3134337807039757,0.39079965606190886,-0.005951427388936281,0.01154624205082655,0.023642420768737793,0.830913820592431,0.3347871657030801,9902,0.015906065702438354,15.311294162054027,0.31922846362706725,0.04205456003546715
60,62,2.0677542686462402,2.001052364706993,2.0012000000000003,0.0001476352930072089,10006,paired,0.30457649280836846,0.4145035022661722,-0.016162049025297165,0.01861685886979103,0.03266880288720131,0.8786253143336128,0.31795431795431794,10482,0.023692995309829712,13.41974540477218,0.3442405086024209,0.039814770221710205
